"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.573625300E-2,6.414719900E1,2.828616230E1,1.508738481E2,NaN,NaN,6.840000153E1,1.040062523E1
1.558926041E0,6.414719900E1,2.828616230E1,1.434819591E2,3.540694118E-1,5.991510010E1,6.840000153E1,1.040062523E1
4.141113541E0,6.414715206E1,2.828643142E1,1.399459142E2,8.236293197E-1,2.959587708E2,1.865554619E1,1.865554619E1
5.140506249E0,6.414715525E1,2.828640459E1,1.436321338E2,7.336539030E-1,2.975757446E2,1.169997787E1,1.169997787E1
6.146035936E0,6.414718648E1,2.828636998E1,1.498624860E2,9.343456030E-1,2.777830505E2,4.699999809E0,4.699999809E0
7.145996874E0,6.414718948E1,2.828636671E1,1.509726137E2,9.886006713E-1,2.928676147E2,4.699999809E0,4.699999809E0
8.358667186E0,6.414719678E1,2.828632388E1,1.507572651E2,9.852382541E-1,2.898062744E2,4.699999809E0,4.699999809E0
9.361594790E0,6.414719069E1,2.828629651E1,1.497954457E2,1.065778136E0,2.791186523E2,4.699999809E0,4.699999809E0
1.036016823E1,6.414715774E1,2.828627462E1,1.480793973E2,1.156689048E0,2.775598450E2,4.699999809E0,4.699999809E0
1.136343281E1,6.414716183E1,2.828626226E1,1.475780974E2,8.054655790E-1,2.775598450E2,4.699999809E0,4.699999809E0
1.236495468E1,6.414715238E1,2.828624715E1,1.478713370E2,9.566342235E-1,2.479062347E2,4.699999809E0,4.699999809E0
1.336764323E1,6.414714659E1,2.828623020E1,1.499163945E2,1.010617852E0,2.782701416E2,4.699999809E0,4.699999809E0
1.436064896E1,6.414715098E1,2.828622489E1,1.502432765E2,1.228009462E0,2.843088989E2,4.699999809E0,4.699999809E0
1.537176562E1,6.414715307E1,2.828621956E1,1.497930111E2,1.214154720E0,2.873367920E2,4.699999809E0,4.699999809E0
1.636950937E1,6.414716062E1,2.828618348E1,1.490230105E2,1.207186341E0,2.912049561E2,4.782564163E0,4.782564163E0
1.737087604E1,6.414716731E1,2.828615922E1,1.481210667E2,1.053558588E0,2.913020020E2,4.351255894E0,4.351255894E0
1.837009166E1,6.414717162E1,2.828614038E1,1.474046627E2,9.503202438E-1,3.129533081E2,3.969954967E0,3.969954967E0
1.937004791E1,6.414717753E1,2.828611950E1,1.469757439E2,1.084401011E0,2.746738586E2,3.786599874E0,3.786599874E0
2.036956146E1,6.414717989E1,2.828609478E1,1.467746347E2,1.150576115E0,2.179106293E2,3.513968706E0,3.513968706E0
2.136997083E1,6.414717469E1,2.828608152E1,1.466422324E2,1.198576093E0,1.793741608E2,3.274036407E0,3.274036407E0
2.237023229E1,6.414716825E1,2.828608442E1,1.466539869E2,1.253699422E0,2.772053833E2,3.084130526E0,3.084130526E0
2.336980208E1,6.414719466E1,2.828607160E1,1.464323984E2,9.858242869E-1,3.332968140E2,3.000000000E0,3.000000000E0
2.437013645E1,6.414719097E1,2.828605877E1,1.460458041E2,7.256565690E-1,3.138683472E2,3.045888901E0,3.045888901E0
2.537240677E1,6.414720016E1,2.828605073E1,1.461402538E2,7.140070796E-1,3.149542847E2,3.051312685E0,3.051312685E0
2.636983854E1,6.414720651E1,2.828604473E1,1.461590296E2,9.121565819E-1,2.836323853E2,3.113994360E0,3.113994360E0
2.737112343E1,6.414721332E1,2.828604118E1,1.461254503E2,8.297498226E-1,2.885578003E2,3.000000000E0,3.000000000E0
2.837078906E1,6.414722279E1,2.828603159E1,1.460206974E2,8.425294161E-1,2.938937378E2,3.000000000E0,3.000000000E0
2.937220781E1,6.414723606E1,2.828603065E1,1.462647734E2,9.916951060E-1,3.240823364E2,3.000000000E0,3.000000000E0
3.036948489E1,6.414725060E1,2.828602308E1,1.462637754E2,1.103921294E0,3.186993713E2,3.000000000E0,3.000000000E0
3.137156041E1,6.414726475E1,2.828602108E1,1.461506364E2,1.100843787E0,3.430625000E2,3.000000000E0,3.000000000E0
3.237035833E1,6.414727801E1,2.828602426E1,1.459703637E2,9.176627398E-1,3.575433960E2,3.000000000E0,3.000000000E0
3.337218593E1,6.414728943E1,2.828603069E1,1.453294370E2,9.560435414E-1,1.907089615E1,3.000000000E0,3.000000000E0
3.437091510E1,6.414729893E1,2.828604000E1,1.449233869E2,1.095023632E0,2.725715828E1,3.000000000E0,3.000000000E0
3.537265624E1,6.414730841E1,2.828605011E1,1.447104569E2,1.110394001E0,2.430562782E1,3.000000000E0,3.000000000E0
3.637137239E1,6.414731798E1,2.828605983E1,1.444707569E2,1.160344601E0,2.695143127E1,3.000000000E0,3.000000000E0
3.737047135E1,6.414732785E1,2.828606488E1,1.444505612E2,1.063244104E0,8.656852722E0,3.000000000E0,3.000000000E0
3.837185052E1,6.414733824E1,2.828606912E1,1.443045406E2,1.033058167E0,3.435792847E2,3.000000000E0,3.000000000E0
3.937173489E1,6.414734662E1,2.828607250E1,1.442947853E2,9.909781218E-1,3.534680786E2,3.000000000E0,3.000000000E0
4.037236822E1,6.414735619E1,2.828607825E1,1.442340019E2,1.037400842E0,4.722970963E0,3.000000000E0,3.000000000E0
4.136055885E1,6.414736839E1,2.828608356E1,1.442497263E2,1.222494245E0,2.538278961E1,3.000000000E0,3.000000000E0
4.236976041E1,6.414737993E1,2.828608822E1,1.442710942E2,1.032629132E0,1.699646568E1,3.000000000E0,3.000000000E0
4.337402291E1,6.414739101E1,2.828609210E1,1.442856302E2,9.361347556E-1,2.500663757E1,3.000000000E0,3.000000000E0
4.437326145E1,6.414740111E1,2.828609834E1,1.442266885E2,1.111102700E0,2.458774745E-1,3.000000000E0,3.000000000E0
4.537829426E1,6.414741009E1,2.828610530E1,1.440396118E2,1.121025205E0,1.429954529E1,3.000000000E0,3.000000000E0
4.637306562E1,6.414741929E1,2.828610613E1,1.440390354E2,1.116563678E0,1.771549416E1,3.000000000E0,3.000000000E0
