"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.456000000E-1,-5.697999597E-1,-1.668999940E-1
9.893696000E-3,-3.879999742E-2,-1.449999958E-1,-1.158000007E-1
1.989369600E-2,-4.809999838E-2,-1.440999955E-1,-5.810000002E-2
2.989369600E-2,-1.120999977E-1,-1.896999925E-1,-5.200000014E-3
3.989369600E-2,-2.547000051E-1,-2.342999876E-1,1.379999984E-2
4.989525900E-2,-3.687999845E-1,-2.779999971E-1,2.889999934E-2
5.989369600E-2,-4.014999866E-1,-3.136999905E-1,1.282999963E-1
6.989213400E-2,-3.721999824E-1,-3.352999985E-1,2.166000009E-1
7.989213400E-2,-2.739999890E-1,-2.899000049E-1,1.977999955E-1
8.989369600E-2,-2.398999929E-1,-2.933000028E-1,1.368999928E-1
9.989838400E-2,-2.211999893E-1,-2.739999890E-1,7.639999688E-2
1.098936960E-1,-1.395999938E-1,-2.389999926E-1,7.959999889E-2
1.198936960E-1,-1.238999963E-1,-2.173999995E-1,9.489999712E-2
1.298936960E-1,-7.099999487E-2,-1.634999961E-1,9.669999778E-2
1.398936960E-1,-3.570000082E-2,-8.049999923E-2,7.349999994E-2
1.498936960E-1,-7.099999487E-2,-9.649999440E-2,1.665999889E-1
1.598936960E-1,-1.101999953E-1,-1.196999997E-1,1.731999964E-1
1.698936960E-1,-1.847999990E-1,-1.218999997E-1,1.186999977E-1
1.798936960E-1,-1.511999965E-1,-1.059999987E-1,4.639999941E-2
1.898936960E-1,-1.201999933E-1,-9.269999713E-2,-3.189999983E-2
1.998936960E-1,-8.280000091E-2,-6.199999899E-2,-4.820000008E-2
2.098936960E-1,-3.859999776E-2,-4.289999977E-2,-5.189999938E-2
2.198936960E-1,3.199999919E-3,-2.479999885E-2,-5.389999971E-2
2.298921340E-1,-1.809999906E-2,-4.010000080E-2,-7.029999793E-2
2.398921340E-1,-3.039999865E-2,-4.659999907E-2,-9.510000050E-2
2.498968210E-1,3.999999724E-3,-4.509999976E-2,-1.567000002E-1
2.598921340E-1,3.649999946E-2,-1.589999907E-2,-2.454999983E-1
2.698921340E-1,8.679999411E-2,2.300000051E-3,-3.423999846E-1
2.798921340E-1,1.064999998E-1,3.989999741E-2,-3.405999839E-1
2.898921340E-1,1.255999953E-1,5.829999968E-2,-3.294000030E-1
2.998968210E-1,1.247999966E-1,3.839999810E-2,-3.093000054E-1
3.098921340E-1,9.439999610E-2,9.800000116E-3,-2.314999998E-1
3.198921340E-1,1.023999974E-1,2.169999853E-2,-8.630000055E-2
3.298921340E-1,1.385999918E-1,4.369999841E-2,0.000000000E0
3.398921340E-1,2.133999914E-1,6.529999524E-2,-1.099999994E-3
3.498921340E-1,2.196999937E-1,6.619999558E-2,-7.000000030E-2
3.598921340E-1,2.167999893E-1,5.680000037E-2,-1.089999974E-1
3.698921340E-1,2.245000005E-1,6.669999659E-2,-1.869999915E-1
3.798921340E-1,2.423999906E-1,4.729999974E-2,-2.358999997E-1
3.898921340E-1,2.219000012E-1,1.889999956E-2,-2.269999981E-1
3.998921340E-1,2.122000009E-1,-8.200000040E-3,-2.096999884E-1
4.098921340E-1,1.447999924E-1,-5.099999718E-3,-1.544999927E-1
4.198921340E-1,1.079999954E-1,-6.030000001E-2,-1.296000034E-1
4.298921340E-1,1.013999954E-1,-9.589999914E-2,-1.537999958E-1
